"S-15-114"
Time (hr),Q+ (ft^3/s),Q- (ft^3/s),V+ (ft^3),V- (ft^3)
.5163814873296931E-04,  0.000000000E+000,  0.000000000E+000,  0.000000000E+000,  0.000000000E+000
.1354649749232854,  2.333704699E+003,  7.203949693E+000,  4.098164547E+005,  2.422697032E+002
.1666666666666667,  2.403514878E+003,  5.888809433E+000,  6.766072870E+005,  9.135613372E+002
.1719739619879410,  2.408383698E+003,  6.153398441E+000,  7.225839191E+005,  1.028289469E+003
.1780707166621352,  2.410470526E+003,  5.127361984E+000,  7.754736924E+005,  1.151694485E+003
.3333333333333333,  2.060961409E+003,  1.186563012E-004,  2.038127373E+006,  1.443051697E+003
.4147101944552082,  1.866987755E+003,  4.727875953E-002,  2.612611281E+006,  1.447320094E+003
.5000000000000000,  1.696719978E+003,  1.610283806E-003,  3.158974921E+006,  1.453040225E+003
.6329859976276092,  1.480344488E+003,  5.198568754E-002,  3.917482806E+006,  1.462250894E+003
.6666666666666666,  1.432252513E+003,  2.054411701E-002,  4.094031905E+006,  1.465692959E+003
.7563853524898327,  1.315614906E+003,  4.367443613E-002,  4.537392328E+006,  1.468848431E+003
.8333333333333334,  1.225916511E+003,  3.657172631E-002,  4.889200178E+006,  1.476488634E+003
.8402705701582486,  1.218369301E+003,  5.171559499E-002,  4.919721124E+006,  1.477568249E+003
1.000000000000000,  1.058268758E+003,  1.475659729E-002,  5.572777224E+006,  1.486393365E+003
1.082911080657072,  9.862458035E+002,  5.000403372E-002,  5.877697204E+006,  1.491782911E+003
1.166666666666667,  9.199228239E+002,  1.730951480E-002,  6.164880558E+006,  1.500177910E+003
1.333333333333333,  8.056593389E+002,  9.483567206E-003,  6.681268047E+006,  1.504524185E+003
1.358052491078490,  7.909065157E+002,  4.684016584E-002,  6.752301044E+006,  1.506516883E+003
1.500000000000000,  7.145733017E+002,  1.254708884E-003,  7.136365720E+006,  1.517403291E+003
1.666666666666667,  6.403351115E+002,  1.101361189E-002,  7.542133594E+006,  1.518981787E+003
1.683435516745986,  6.336768774E+002,  4.318997367E-002,  7.580587204E+006,  1.520658988E+003
1.833333333333333,  5.786574913E+002,  8.352736743E-003,  7.907290815E+006,  1.534244282E+003
1.934912800800595,  5.460789144E+002,  1.495484352E-002,  8.112829789E+006,  1.536408979E+003
2.000000000000000,  5.267029070E+002,  3.064144101E-004,  8.238487219E+006,  1.536987450E+003
2.037453670474298,  5.161948065E+002,  3.237745738E-002,  8.308789148E+006,  1.538388763E+003
2.166666666666667,  4.819816486E+002,  2.177852229E-002,  8.540790741E+006,  1.548889279E+003
2.195339206939717,  4.749771979E+002,  2.427652775E-002,  8.590177870E+006,  1.551105153E+003
