"Upstream -0.45-Dam"
Time (hr),Q+ (ft^3/s),Q- (ft^3/s),V+ (ft^3),V- (ft^3)
.5163814873296931E-04,  4.857619108E+004,  0.000000000E+000,  9.030184487E+003,  0.000000000E+000
.7471947288558046E-02,  1.556239495E+004,  3.963143688E+001,  6.472904192E+005,  4.146050184E+002
.1666666666666667,  2.986796850E+003,  3.866803932E+000,  3.737982989E+006,  6.729415017E+003
.3333333333333333,  1.784409535E+003,  6.142804105E-001,  5.110346107E+006,  8.004990264E+003
.5000000000000000,  1.364700398E+003,  2.107211581E-003,  6.037323765E+006,  8.112176729E+003
.5994540580630060,  1.216141785E+003,  2.287660817E-001,  6.498156472E+006,  8.116991679E+003
.6666666666666666,  1.130776915E+003,  4.093765146E-004,  6.781873137E+006,  8.123607216E+003
.8333333333333334,  9.579396338E+002,  2.190617118E-002,  7.406419120E+006,  8.127739948E+003
.8896183512041315,  9.082589384E+002,  2.795638249E-002,  7.595407250E+006,  8.132894195E+003
1.000000000000000,  8.201274724E+002,  1.116439133E-002,  7.938359380E+006,  8.141223832E+003
1.166666666666667,  7.058565129E+002,  2.200365098E-001,  8.395163051E+006,  8.174425592E+003
1.309417446570682,  6.279009678E+002,  1.147011766E+000,  8.736631064E+006,  8.402716917E+003
1.333333333333333,  6.160979171E+002,  7.032660871E-001,  8.790179010E+006,  8.480023082E+003
1.500000000000000,  5.464020300E+002,  5.269960197E-001,  9.138049614E+006,  8.810025785E+003
1.666666666666667,  4.902073172E+002,  5.278802934E-001,  9.448479496E+006,  9.079117270E+003
1.827609345492578,  4.452914553E+002,  7.494635272E-001,  9.719086335E+006,  9.433325399E+003
1.833333333333333,  4.438007375E+002,  7.156602908E-001,  9.728246662E+006,  9.448507493E+003
2.000000000000000,  4.045208664E+002,  6.541501276E-001,  9.982411303E+006,  9.817582264E+003
2.166666666666667,  3.710159539E+002,  8.000266513E-001,  1.021481109E+007,  1.023540170E+004
2.325464488507761,  3.436625637E+002,  1.381186305E+000,  1.041883386E+007,  1.079963064E+004
2.333333333333333,  3.422595748E+002,  1.279567424E+000,  1.042854947E+007,  1.083748280E+004
2.500000000000000,  3.161121120E+002,  9.265886036E-001,  1.062585509E+007,  1.143210992E+004
2.666666666666667,  2.929961720E+002,  8.980127874E-001,  1.080847852E+007,  1.197895787E+004
2.833333333333333,  2.720745967E+002,  9.138324173E-001,  1.097789645E+007,  1.251813754E+004
2.852888992678228,  2.697952944E+002,  9.269646051E-001,  1.099696952E+007,  1.258295058E+004
3.000000000000000,  2.530663748E+002,  8.874812157E-001,  1.113536979E+007,  1.305406247E+004
3.119138853922203,  2.407101433E+002,  1.072309431E+000,  1.124122582E+007,  1.345892095E+004
3.166666666666667,  2.356340017E+002,  8.123277074E-001,  1.128197289E+007,  1.361755632E+004
3.333333333333333,  2.193646316E+002,  5.865221303E-001,  1.141838564E+007,  1.401412416E+004
3.333526184008857,  2.193573473E+002,  5.869550762E-001,  1.141853793E+007,  1.401453166E+004
3.500000000000000,  2.043399887E+002,  5.526025807E-001,  1.154547957E+007,  1.435301126E+004
3.666666666666667,  1.905162852E+002,  5.871218967E-001,  1.166386598E+007,  1.468718002E+004
3.721402139456791,  1.863970278E+002,  6.614398644E-001,  1.170099746E+007,  1.480968017E+004
3.833333333333333,  1.782597602E+002,  5.628922602E-001,  1.177443457E+007,  1.504791069E+004
4.000000000000000,  1.676244768E+002,  6.374687851E-001,  1.187812643E+007,  1.539923178E+004
4.143607950415122,  1.596404820E+002,  8.149395787E-001,  1.196267012E+007,  1.575725102E+004
4.166666666666667,  1.582541464E+002,  6.697240948E-001,  1.197586473E+007,  1.581874151E+004
4.166863500106584,  1.582517466E+002,  6.697646734E-001,  1.197597687E+007,  1.581921610E+004
4.333333333333333,  1.496432980E+002,  5.199528783E-001,  1.206816588E+007,  1.615213736E+004
4.333530806968191,  1.496393597E+002,  5.202429863E-001,  1.206827226E+007,  1.615250720E+004
4.500000000000000,  1.420156393E+002,  5.066091011E-001,  1.215561651E+007,  1.645911143E+004
4.666666666666667,  1.350161684E+002,  5.092612072E-001,  1.223869604E+007,  1.676306373E+004
4.833333333333333,  1.287561123E+002,  5.333273236E-001,  1.231779132E+007,  1.707417420E+004
5.000000000000000,  1.231123124E+002,  6.709075624E-001,  1.239332412E+007,  1.742334016E+004
5.000998929277679,  1.230851144E+002,  6.720236345E-001,  1.239376679E+007,  1.742575581E+004
5.166666666666667,  1.176144763E+002,  4.679483646E-001,  1.246549710E+007,  1.774393221E+004
5.166866978106007,  1.176133465E+002,  4.680035628E-001,  1.246558191E+007,  1.774426970E+004
5.333333333333333,  1.126695485E+002,  4.278099116E-001,  1.253455471E+007,  1.801116904E+004
5.500000000000000,  1.082416611E+002,  4.047869945E-001,  1.260080626E+007,  1.826056965E+004
5.500201311473272,  1.082367602E+002,  4.048057652E-001,  1.260088470E+007,  1.826086302E+004
5.666666666666667,  1.041476249E+002,  3.930635096E-001,  1.266450684E+007,  1.849870582E+004
5.667070240048909,  1.041380903E+002,  3.931027191E-001,  1.266465814E+007,  1.849927694E+004
5.833333333333333,  1.003137278E+002,  3.917825733E-001,  1.272582990E+007,  1.873408193E+004
6.000000000000000,  9.671108769E+001,  3.969072724E-001,  1.278492313E+007,  1.896954321E+004
6.166666666666667,  9.337595026E+001,  4.206680602E-001,  1.284194013E+007,  1.921462015E+004
6.333333333333333,  9.024219916E+001,  4.495204507E-001,  1.289702001E+007,  1.947528423E+004
6.500000000000000,  8.730788462E+001,  4.897966830E-001,  1.295026731E+007,  1.975625349E+004
6.666666666666667,  8.462155664E+001,  5.711318832E-001,  1.300183073E+007,  2.007039047E+004
6.718586966345656,  8.386629803E+001,  6.388724968E-001,  1.301757565E+007,  2.018261893E+004
6.833333333333333,  8.202903067E+001,  5.753602184E-001,  1.305182936E+007,  2.042466718E+004
6.927766186849169,  8.070313355E+001,  6.856604817E-001,  1.307948413E+007,  2.063391125E+004
7.000000000000000,  7.954566402E+001,  5.994420437E-001,  1.310031467E+007,  2.079589797E+004
7.034465275987841,  7.907387238E+001,  6.306408973E-001,  1.311015451E+007,  2.087171281E+004
7.166666666666667,  7.705645981E+001,  4.912468651E-001,  1.314728656E+007,  2.112229426E+004
7.333333333333333,  7.479597215E+001,  4.940298823E-001,  1.319283508E+007,  2.141764343E+004
7.333539169193599,  7.479447773E+001,  4.943447160E-001,  1.319289051E+007,  2.141800975E+004
7.500000000000000,  7.261604685E+001,  4.918385988E-001,  1.323705283E+007,  2.171355045E+004
