"Downstream 0.45-Dam"
Time (hr),Q+ (ft^3/s),Q- (ft^3/s),V+ (ft^3),V- (ft^3)
.5163814873296931E-04,  0.000000000E+000,  0.000000000E+000,  0.000000000E+000,  0.000000000E+000
.1799730790566773E-02,  2.310559773E+004,  0.000000000E+000,  8.500522335E+004,  8.643328675E-002
.3070572472168766E-02,  1.996677174E+004,  1.393403881E+001,  1.835591640E+005,  3.153846814E+001
.1666666666666667,  3.002721629E+003,  1.143562859E+000,  3.537145546E+006,  2.248168765E+003
.1855869813364361,  2.800390031E+003,  1.374541394E+000,  3.734625898E+006,  2.331264070E+003
.3333333333333333,  1.796694327E+003,  1.530642720E-001,  4.917952647E+006,  2.651688183E+003
.5000000000000000,  1.375072139E+003,  0.000000000E+000,  5.851686796E+006,  2.674441746E+003
.5986254055963653,  1.226508602E+003,  8.220419893E-002,  6.312423760E+006,  2.675617554E+003
.6666666666666666,  1.139688976E+003,  3.890470626E-003,  6.602017326E+006,  2.679152689E+003
.8333333333333334,  9.658659658E+002,  3.425995881E-002,  7.231585625E+006,  2.681585792E+003
.8887688316784755,  9.166356824E+002,  6.814195922E-002,  7.419353077E+006,  2.692048861E+003
1.000000000000000,  8.272254013E+002,  2.391689162E-003,  7.768044300E+006,  2.706966083E+003
1.166666666666667,  7.122168638E+002,  9.656130617E-002,  8.228900916E+006,  2.723648410E+003
1.308889144486076,  6.331993103E+002,  3.206003874E-001,  8.572175200E+006,  2.773131313E+003
1.333333333333333,  6.213175439E+002,  1.402640170E-001,  8.627369445E+006,  2.791937578E+003
1.457175685759241,  5.677235891E+002,  1.603899244E-001,  8.892027029E+006,  2.843717264E+003
1.500000000000000,  5.510707068E+002,  8.322347069E-002,  8.978249026E+006,  2.860280426E+003
1.500178408782615,  5.510452079E+002,  8.335598725E-002,  8.978602947E+006,  2.860333963E+003
1.666666666666667,  4.943089725E+002,  4.434896881E-002,  9.291342169E+006,  2.894265129E+003
1.827245682184777,  4.489280265E+002,  1.136292763E-001,  9.563578301E+006,  2.928127927E+003
1.833333333333333,  4.473420357E+002,  1.050130370E-001,  9.573399227E+006,  2.930557678E+003
2.000000000000000,  4.077769682E+002,  1.192153773E-001,  9.829626235E+006,  2.984579739E+003
2.166666666666667,  3.738652182E+002,  1.554228484E-001,  1.006387428E+007,  3.067356706E+003
2.324906054198910,  3.459343919E+002,  3.195946499E-001,  1.026866689E+007,  3.171574018E+003
2.333333333333333,  3.444732348E+002,  2.632144480E-001,  1.027913989E+007,  3.180495366E+003
2.500000000000000,  3.183148295E+002,  1.266095146E-001,  1.047780542E+007,  3.266100548E+003
2.666666666666667,  2.950403238E+002,  1.488556055E-001,  1.066170238E+007,  3.349012145E+003
2.833333333333333,  2.739553605E+002,  1.878789491E-001,  1.083229777E+007,  3.446476591E+003
2.852319225023159,  2.717267310E+002,  2.079359744E-001,  1.085094544E+007,  3.459992487E+003
3.000000000000000,  2.547278133E+002,  1.170100196E-001,  1.099083527E+007,  3.535914751E+003
3.119138853922203,  2.420832681E+002,  1.310222151E-001,  1.109735543E+007,  3.586131082E+003
3.166666666666667,  2.372011255E+002,  1.040522191E-001,  1.113835441E+007,  3.603827174E+003
3.333333333333333,  2.210393625E+002,  1.337718451E-001,  1.127576508E+007,  3.678067241E+003
3.500000000000000,  2.059287098E+002,  1.504478886E-001,  1.140384041E+007,  3.763117713E+003
3.666666666666667,  1.919778646E+002,  1.861054851E-001,  1.152314626E+007,  3.861435854E+003
3.720622437857383,  1.878446912E+002,  2.268014245E-001,  1.156003184E+007,  3.901246351E+003
3.833333333333333,  1.795850162E+002,  1.380408293E-001,  1.163454294E+007,  3.967185486E+003
4.000000000000000,  1.687872683E+002,  1.494141418E-001,  1.173898354E+007,  4.047770737E+003
4.143214467748308,  1.606453859E+002,  2.415120748E-001,  1.182386208E+007,  4.140102966E+003
4.166666666666667,  1.593043153E+002,  1.745041738E-001,  1.183736843E+007,  4.157454517E+003
4.166863500106584,  1.593021273E+002,  1.746440011E-001,  1.183748131E+007,  4.157578270E+003
4.333333333333333,  1.507214519E+002,  1.286036896E-001,  1.193032149E+007,  4.238752968E+003
4.500000000000000,  1.430425170E+002,  1.349990988E-001,  1.201840399E+007,  4.317555116E+003
4.666666666666667,  1.359877883E+002,  1.454318869E-001,  1.210208354E+007,  4.401502757E+003
4.833333333333333,  1.296623230E+002,  1.629603580E-001,  1.218174279E+007,  4.493324393E+003
5.000000000000000,  1.238970603E+002,  2.316946277E-001,  1.225778946E+007,  4.606270988E+003
5.000399569783536,  1.238880125E+002,  2.324405591E-001,  1.225796767E+007,  4.606605041E+003
5.166666666666667,  1.184550699E+002,  1.326047129E-001,  1.233045687E+007,  4.701848663E+003
5.166866978106007,  1.184540987E+002,  1.327518492E-001,  1.233054229E+007,  4.701944393E+003
5.333333333333333,  1.134890818E+002,  1.192981136E-001,  1.240001350E+007,  4.776882483E+003
5.333534153757020,  1.134834999E+002,  1.193156825E-001,  1.240009554E+007,  4.776968743E+003
5.500000000000000,  1.090326979E+002,  1.118087507E-001,  1.246674836E+007,  4.846106070E+003
5.500201311473272,  1.090278555E+002,  1.118986242E-001,  1.246682738E+007,  4.846187165E+003
5.666666666666667,  1.049035436E+002,  1.061439041E-001,  1.253091404E+007,  4.911431702E+003
5.666868453074712,  1.048988967E+002,  1.062169579E-001,  1.253099024E+007,  4.911508861E+003
5.833333333333333,  1.010275279E+002,  1.011758885E-001,  1.259267796E+007,  4.973589520E+003
5.833535579652620,  1.010274595E+002,  1.011888389E-001,  1.259275151E+007,  4.973663194E+003
6.000000000000000,  9.737919505E+001,  9.684818993E-002,  1.265218678E+007,  5.032974718E+003
6.000202692288542,  9.737833629E+001,  9.699118639E-002,  1.265225784E+007,  5.033045492E+003
6.166666666666667,  9.398489324E+001,  9.501528156E-002,  1.270958648E+007,  5.090057030E+003
6.333333333333333,  9.079554521E+001,  1.003363851E-001,  1.276501529E+007,  5.148614766E+003
6.500000000000000,  8.779952250E+001,  1.088617235E-001,  1.281857629E+007,  5.210846392E+003
6.666666666666667,  8.503786931E+001,  1.424627098E-001,  1.287041477E+007,  5.284876983E+003
6.718178024719459,  8.423779702E+001,  1.677300205E-001,  1.288610931E+007,  5.313310497E+003
6.833333333333333,  8.241309650E+001,  1.404833815E-001,  1.292064634E+007,  5.373097434E+003
6.926741440525086,  8.101567626E+001,  1.802633566E-001,  1.294812164E+007,  5.425115477E+003
7.000000000000000,  7.986284666E+001,  1.229668843E-001,  1.296933435E+007,  5.463373801E+003
7.000205112405165,  7.986170856E+001,  1.232077725E-001,  1.296939332E+007,  5.463464778E+003
7.166666666666667,  7.745145020E+001,  1.170990131E-001,  1.301651749E+007,  5.532494454E+003
7.209210245225011,  7.685460529E+001,  1.176172158E-001,  1.302833375E+007,  5.550483054E+003
7.333333333333333,  7.516428397E+001,  1.159438736E-001,  1.306229554E+007,  5.602753826E+003
7.333539169193599,  7.516296478E+001,  1.162325532E-001,  1.306235124E+007,  5.602839955E+003
7.500000000000000,  7.296157368E+001,  1.128394426E-001,  1.310672725E+007,  5.671387452E+003
7.500206184157075,  7.296150464E+001,  1.128625839E-001,  1.310678141E+007,  5.671471226E+003
7.666666666666667,  7.089732199E+001,  1.102218165E-001,  1.314987910E+007,  5.738243700E+003
7.666873190626946,  7.089550915E+001,  1.104682719E-001,  1.314993181E+007,  5.738325831E+003
7.833333333333333,  6.891970736E+001,  1.079427704E-001,  1.319182132E+007,  5.803672205E+003
7.833540189066795,  6.891870357E+001,  1.081924910E-001,  1.319187264E+007,  5.803752774E+003
8.000000000000000,  6.701564128E+001,  1.059767000E-001,  1.323260143E+007,  5.867830383E+003
8.000207179769671,  6.701539773E+001,  1.060563418E-001,  1.323265142E+007,  5.867909485E+003
8.166666666666666,  6.522494529E+001,  1.042932199E-001,  1.327226657E+007,  5.930898354E+003
8.166874162950618,  6.522301953E+001,  1.044297973E-001,  1.327231529E+007,  5.930976362E+003
8.333333333333334,  6.349407254E+001,  1.029665013E-001,  1.331087829E+007,  5.993060316E+003
8.500000000000000,  6.183188856E+001,  1.054761730E-001,  1.334846871E+007,  6.055217364E+003
8.666666666666666,  6.025693870E+001,  1.130158683E-001,  1.338509192E+007,  6.120426431E+003
8.763196860224301,  5.937411957E+001,  1.282931144E-001,  1.340587692E+007,  6.161669533E+003
8.833333333333334,  5.870920147E+001,  1.060382284E-001,  1.342078442E+007,  6.190617689E+003
8.833542027306281,  5.870877766E+001,  1.061723092E-001,  1.342082853E+007,  6.190697456E+003
9.000000000000000,  5.722617832E+001,  9.779203052E-002,  1.345556155E+007,  6.251077425E+003
9.000208977626745,  5.722599645E+001,  9.785192405E-002,  1.345560460E+007,  6.251151041E+003
9.166666666666666,  5.581869209E+001,  9.476063059E-002,  1.348947397E+007,  6.308762266E+003
9.166875921743809,  5.581868392E+001,  9.476351059E-002,  1.348951602E+007,  6.308833653E+003
9.333333333333334,  5.444708024E+001,  9.269202978E-002,  1.352255082E+007,  6.364957650E+003
9.333542860459765,  5.444543940E+001,  9.272351526E-002,  1.352259189E+007,  6.365027591E+003
9.500000000000000,  5.312548861E+001,  9.104576458E-002,  1.355481623E+007,  6.420070868E+003
9.500209793355339,  5.312396803E+001,  9.109255425E-002,  1.355485635E+007,  6.420139666E+003
9.666666666666666,  5.186527212E+001,  9.108386597E-002,  1.358631269E+007,  6.474311806E+003
9.833333333333334,  5.067097800E+001,  1.126637105E-001,  1.361706703E+007,  6.533970574E+003
9.865935110701889,  5.045522549E+001,  1.251363846E-001,  1.362300121E+007,  6.547826901E+003
10.00000000000000,  4.949544626E+001,  9.986205042E-002,  1.364711790E+007,  6.599749074E+003
10.00021055983877,  4.949542448E+001,  9.987105891E-002,  1.364715542E+007,  6.599824778E+003
10.16666666666667,  4.835760623E+001,  9.596782780E-002,  1.367647138E+007,  6.658258391E+003
10.16687747207844,  4.835745701E+001,  9.602859166E-002,  1.367650807E+007,  6.658331267E+003
10.33333333333333,  4.724990027E+001,  9.415580763E-002,  1.370515081E+007,  6.715266208E+003
10.33354437951323,  4.724960090E+001,  9.426934806E-002,  1.370518671E+007,  6.715337831E+003
10.50000000000000,  4.619790265E+001,  9.276096251E-002,  1.373318316E+007,  6.771331465E+003
10.50021128220337,  4.619742928E+001,  9.291978762E-002,  1.373321830E+007,  6.771402141E+003
10.66666666666667,  4.516146791E+001,  9.162460558E-002,  1.376058985E+007,  6.826633501E+003
10.66687818047352,  4.516081742E+001,  9.181157699E-002,  1.376062424E+007,  6.826703411E+003
10.83333333333333,  4.416521829E+001,  9.006992980E-002,  1.378738637E+007,  6.881140098E+003
10.83354507434615,  4.416439262E+001,  9.025758410E-002,  1.378742003E+007,  6.881208898E+003
11.00000000000000,  4.319278327E+001,  8.897600751E-002,  1.381359240E+007,  6.934855934E+003
11.00021196395675,  4.319179140E+001,  8.912757856E-002,  1.381362536E+007,  6.934923944E+003
11.16666666666667,  4.223808752E+001,  8.787087007E-002,  1.383921927E+007,  6.987910859E+003
11.16687884945700,  4.223695995E+001,  8.794003862E-002,  1.383925154E+007,  6.987978033E+003
11.33333333333333,  4.132796288E+001,  8.673236731E-002,  1.386428483E+007,  7.040293942E+003
11.33354573076488,  4.132782293E+001,  8.678910278E-002,  1.386431643E+007,  7.040360304E+003
11.50000000000000,  4.044930822E+001,  8.566961653E-002,  1.388881829E+007,  7.092011605E+003
11.50021260803593,  4.044885235E+001,  8.580295485E-002,  1.388884925E+007,  7.092077277E+003
11.66666666666667,  3.959006287E+001,  8.464083939E-002,  1.391282996E+007,  7.143104917E+003
11.66687948152141,  3.958934668E+001,  8.479398729E-002,  1.391286030E+007,  7.143169880E+003
11.83333333333333,  3.876366439E+001,  8.366622742E-002,  1.393633382E+007,  7.193579708E+003
11.83354635121377,  3.876275988E+001,  8.376900431E-002,  1.393636354E+007,  7.193643947E+003
12.00000000000000,  3.795365073E+001,  8.263478669E-002,  1.395934734E+007,  7.243471060E+003
12.00021321726309,  3.795358970E+001,  8.265755716E-002,  1.395937648E+007,  7.243534506E+003
12.16666666666667,  3.717505996E+001,  8.165676405E-002,  1.398188524E+007,  7.292757439E+003
12.16688007970335,  3.717463459E+001,  8.178084590E-002,  1.398191380E+007,  7.292820270E+003
12.33333333333333,  3.640182067E+001,  8.070712357E-002,  1.400395753E+007,  7.341466211E+003
12.43546446827817,  3.594783343E+001,  8.541799838E-002,  1.401725702E+007,  7.371500158E+003
12.50000000000000,  3.566310419E+001,  7.963330028E-002,  1.402557505E+007,  7.390242673E+003
12.50021379450745,  3.566222969E+001,  7.967826873E-002,  1.402560250E+007,  7.390303998E+003
12.66666666666667,  3.494544635E+001,  7.884343109E-002,  1.404675710E+007,  7.437808472E+003
12.66688064688595,  3.494515543E+001,  7.893704258E-002,  1.404678402E+007,  7.437869279E+003
12.83333333333333,  3.425307514E+001,  7.794230878E-002,  1.406751509E+007,  7.484845044E+003
12.83354749584636,  3.425249110E+001,  7.808704873E-002,  1.406754150E+007,  7.484905248E+003
13.00000000000000,  3.358582722E+001,  7.713983294E-002,  1.408786852E+007,  7.531363679E+003
13.00021434164251,  3.358499319E+001,  7.719189581E-002,  1.408789443E+007,  7.531423243E+003
13.16666666666667,  3.291663625E+001,  7.634739957E-002,  1.410781727E+007,  7.577406837E+003
13.16688118444123,  3.291634976E+001,  7.645592289E-002,  1.410784269E+007,  7.577465881E+003
13.33333333333333,  3.227894289E+001,  7.561249456E-002,  1.412737489E+007,  7.622992795E+003
13.33354802414713,  3.227834542E+001,  7.574361047E-002,  1.412739984E+007,  7.623051336E+003
13.50000000000000,  3.164768398E+001,  7.497752892E-002,  1.414655121E+007,  7.668172290E+003
13.50021486096304,  3.164768139E+001,  7.497875475E-002,  1.414657569E+007,  7.668230286E+003
13.66666666666667,  3.104638558E+001,  7.441336393E-002,  1.416535819E+007,  7.712984207E+003
13.66688169481683,  3.104599426E+001,  7.454112168E-002,  1.416538223E+007,  7.713041909E+003
13.83333333333333,  3.046567997E+001,  7.398207489E-002,  1.418381111E+007,  7.757495590E+003
13.83354852586614,  3.046502713E+001,  7.406709059E-002,  1.418383471E+007,  7.757552969E+003
14.00000000000000,  2.990002140E+001,  7.369153302E-002,  1.420191985E+007,  7.801789986E+003
14.00021535420503,  2.989980878E+001,  7.377653423E-002,  1.420194303E+007,  7.801847183E+003
14.16666666666667,  2.933880372E+001,  7.374989267E-002,  1.421969091E+007,  7.845993317E+003
14.33333333333333,  2.879097184E+001,  7.416402741E-002,  1.423712859E+007,  7.890353088E+003
14.50000000000000,  2.826169657E+001,  7.495012892E-002,  1.425424391E+007,  7.935064296E+003
14.66666666666667,  2.775172718E+001,  7.632690979E-002,  1.427104613E+007,  7.980411646E+003
14.83333333333333,  2.725080536E+001,  7.877656280E-002,  1.428754702E+007,  8.026870489E+003
15.00000000000000,  2.675831104E+001,  8.369494549E-002,  1.430374870E+007,  8.075410312E+003
15.11118781177514,  2.644399063E+001,  9.223519846E-002,  1.431439653E+007,  8.110410590E+003
15.16666666666667,  2.627958368E+001,  8.763683373E-002,  1.431966163E+007,  8.128455979E+003
15.16688308124180,  2.627926392E+001,  8.773361421E-002,  1.431968210E+007,  8.128524331E+003
15.33333333333333,  2.580891978E+001,  7.506474771E-002,  1.433528636E+007,  8.176722626E+003
15.33354989013272,  2.580836176E+001,  7.510442560E-002,  1.433530648E+007,  8.176781178E+003
15.50000000000000,  2.535030349E+001,  7.044982405E-002,  1.435063348E+007,  8.220107722E+003
15.50021669665729,  2.535001485E+001,  7.054919984E-002,  1.435065325E+007,  8.220162758E+003
15.66666666666667,  2.491132389E+001,  7.017457915E-002,  1.436571009E+007,  8.262185363E+003
15.74213562390899,  2.472797886E+001,  7.557996554E-002,  1.437245281E+007,  8.281668205E+003
15.83333333333333,  2.448960996E+001,  6.591785680E-002,  1.438053191E+007,  8.304301316E+003
15.83355030293451,  2.448930263E+001,  6.602118491E-002,  1.438055104E+007,  8.304352884E+003
16.00000000000000,  2.406162051E+001,  6.240284744E-002,  1.439509724E+007,  8.342645075E+003
16.00021710320803,  2.406108082E+001,  6.243206078E-002,  1.439511604E+007,  8.342693870E+003
16.16666666666667,  2.364507105E+001,  6.038641630E-002,  1.440940963E+007,  8.379446473E+003
16.16688390124099,  2.364474339E+001,  6.049131312E-002,  1.440942812E+007,  8.379493780E+003
16.33333333333333,  2.323680447E+001,  5.885343531E-002,  1.442347348E+007,  8.415199650E+003
16.33355069721845,  2.323629293E+001,  5.885526341E-002,  1.442349166E+007,  8.415245704E+003
16.50000000000000,  2.284127227E+001,  5.758608235E-002,  1.443729660E+007,  8.450120634E+003
16.50021749118297,  2.284091841E+001,  5.768747963E-002,  1.443731449E+007,  8.450165801E+003
16.66666666666667,  2.245594788E+001,  5.649014084E-002,  1.445088492E+007,  8.484338263E+003
16.66688428321325,  2.245587472E+001,  5.652424235E-002,  1.445090251E+007,  8.484382545E+003
16.83333333333333,  2.208261928E+001,  5.551721996E-002,  1.446424569E+007,  8.517936094E+003
16.83355107333656,  2.208223457E+001,  5.560588024E-002,  1.446426300E+007,  8.517979681E+003
17.00000000000000,  2.171893704E+001,  5.464599244E-002,  1.447738585E+007,  8.550979806E+003
17.00021786160437,  2.171877853E+001,  5.471358185E-002,  1.447740288E+007,  8.551022718E+003
17.16666666666667,  2.136869259E+001,  5.369935448E-002,  1.449031156E+007,  8.583505502E+003
17.16688464806241,  2.136828161E+001,  5.375942425E-002,  1.449032833E+007,  8.583547689E+003
17.33333333333333,  2.101978264E+001,  5.298843510E-002,  1.450302803E+007,  8.615510534E+003
17.33355143281003,  2.101953889E+001,  5.307679754E-002,  1.450304453E+007,  8.615552208E+003
17.50000000000000,  2.067586720E+001,  5.229148050E-002,  1.451553637E+007,  8.647093928E+003
17.50021821585801,  2.067542545E+001,  5.230017517E-002,  1.451555261E+007,  8.647135014E+003
17.66666666666667,  2.033839913E+001,  5.161738394E-002,  1.452784029E+007,  8.678265082E+003
17.66688499721459,  2.033808081E+001,  5.170557107E-002,  1.452785627E+007,  8.678305722E+003
17.83333333333333,  2.001317060E+001,  5.096839298E-002,  1.453994533E+007,  8.709039464E+003
17.83355177687441,  2.001305855E+001,  5.101856247E-002,  1.453996107E+007,  8.709079585E+003
18.00000000000000,  1.969329164E+001,  5.035163750E-002,  1.455185756E+007,  8.739431788E+003
18.00021855491877,  1.969291578E+001,  5.041110710E-002,  1.455187305E+007,  8.739471452E+003
18.16666666666667,  1.938439694E+001,  4.974296651E-002,  1.456357978E+007,  8.769459414E+003
18.16688533134861,  1.938418011E+001,  4.982441809E-002,  1.456359503E+007,  8.769498636E+003
18.33333333333333,  1.908927033E+001,  4.916893357E-002,  1.457512142E+007,  8.799133305E+003
18.33355210616228,  1.908926176E+001,  4.917338137E-002,  1.457513646E+007,  8.799172033E+003
18.50000000000000,  1.879768933E+001,  4.863199172E-002,  1.458648746E+007,  8.828472865E+003
18.50021887946496,  1.879738654E+001,  4.870791134E-002,  1.458650227E+007,  8.828511245E+003
18.66666666666667,  1.851366092E+001,  4.811481576E-002,  1.459768029E+007,  8.857496236E+003
18.66688565129967,  1.851351578E+001,  4.817900607E-002,  1.459769489E+007,  8.857534217E+003
18.83333333333333,  1.824232891E+001,  4.761659450E-002,  1.460870702E+007,  8.886212971E+003
18.83355242165863,  1.824200784E+001,  4.764122150E-002,  1.460872140E+007,  8.886250547E+003
19.00000000000000,  1.797522835E+001,  4.717749309E-002,  1.461957212E+007,  8.914650909E+003
19.00021919064488,  1.797497036E+001,  4.725101431E-002,  1.461958630E+007,  8.914688194E+003
19.16666666666667,  1.770732557E+001,  4.674049841E-002,  1.463027670E+007,  8.942829682E+003
19.16688595830836,  1.770721504E+001,  4.678699200E-002,  1.463029068E+007,  8.942866618E+003
19.33333333333333,  1.744467230E+001,  4.630668180E-002,  1.464082195E+007,  8.970743548E+003
19.33355272462070,  1.744434511E+001,  4.634306013E-002,  1.464083573E+007,  8.970780150E+003
19.50000000000000,  1.718717487E+001,  4.588665090E-002,  1.465121137E+007,  8.998399753E+003
19.50021948960563,  1.718694636E+001,  4.595748520E-002,  1.465122495E+007,  8.998436067E+003
19.66666666666667,  1.693594062E+001,  4.547420641E-002,  1.466144849E+007,  9.025806672E+003
19.66688625327193,  1.693585040E+001,  4.551352007E-002,  1.466146188E+007,  9.025842651E+003
19.83333333333333,  1.669289408E+001,  4.507273649E-002,  1.467153676E+007,  9.052970232E+003
20.00000000000000,  1.645551191E+001,  4.540691945E-002,  1.468148082E+007,  9.079982457E+003
20.16666666666667,  1.622441289E+001,  4.655222885E-002,  1.469128448E+007,  9.107667609E+003
20.33333333333333,  1.599911325E+001,  4.879476127E-002,  1.470095088E+007,  9.136155361E+003
20.48865615188949,  1.579802757E+001,  5.688418704E-002,  1.470983997E+007,  9.165054258E+003
20.50000000000000,  1.578171659E+001,  5.468935014E-002,  1.471048481E+007,  9.167337019E+003
20.50022005237739,  1.578148041E+001,  5.473885516E-002,  1.471049731E+007,  9.167380383E+003
20.66666666666667,  1.555032921E+001,  4.467482906E-002,  1.471988311E+007,  9.195816268E+003
20.66688680939966,  1.555021823E+001,  4.472686505E-002,  1.471989543E+007,  9.195851715E+003
20.83333333333333,  1.532874663E+001,  4.333393075E-002,  1.472914663E+007,  9.222156727E+003
20.83355356487364,  1.532846329E+001,  4.335100329E-002,  1.472915879E+007,  9.222191097E+003
21.00000000000000,  1.511405701E+001,  4.264050321E-002,  1.473827940E+007,  9.247916847E+003
21.00022031894648,  1.511381761E+001,  4.269789535E-002,  1.473829139E+007,  9.247950713E+003
21.16666666666667,  1.490165222E+001,  4.227036677E-002,  1.474728378E+007,  9.273387377E+003
21.16688707186065,  1.490150466E+001,  4.232412299E-002,  1.474729561E+007,  9.273420959E+003
21.33333333333333,  1.469317197E+001,  4.192433527E-002,  1.475616199E+007,  9.298645406E+003
21.33355382370639,  1.469315335E+001,  4.193282403E-002,  1.475617365E+007,  9.298678691E+003
21.50000000000000,  1.449054746E+001,  4.158597287E-002,  1.476491690E+007,  9.323698281E+003
21.50022057445842,  1.449030421E+001,  4.163031515E-002,  1.476492841E+007,  9.323731338E+003
21.66666666666667,  1.429069966E+001,  4.125534049E-002,  1.477355113E+007,  9.348550628E+003
21.66688732414961,  1.429052020E+001,  4.131293837E-002,  1.477356248E+007,  9.348583446E+003
21.83333333333333,  1.409516983E+001,  4.092818378E-002,  1.478206668E+007,  9.373205717E+003
21.83355407279348,  1.409509006E+001,  4.096165516E-002,  1.478207788E+007,  9.373238268E+003
22.00000000000000,  1.390612982E+001,  4.060601694E-002,  1.479046684E+007,  9.397665623E+003
22.00022082039159,  1.390588569E+001,  4.062605995E-002,  1.479047790E+007,  9.397697919E+003
22.16666666666667,  1.371727669E+001,  4.029250971E-002,  1.479875378E+007,  9.421935129E+003
22.16688756699966,  1.371706962E+001,  4.034443130E-002,  1.479876468E+007,  9.421967213E+003
22.33333333333333,  1.353367105E+001,  3.997853522E-002,  1.480692869E+007,  9.446016895E+003
22.33355431261213,  1.353353517E+001,  4.002849436E-002,  1.480693946E+007,  9.446048739E+003
22.50000000000000,  1.335205536E+001,  3.967323025E-002,  1.481499434E+007,  9.469912751E+003
