"Dam"
Time (hr),Q+ (ft^3/s),Q- (ft^3/s),V+ (ft^3),V- (ft^3)
.5163814873296931E-04,  4.720156243E+003,  0.000000000E+000,  8.774644684E+002,  0.000000000E+000
.1208093741276564E-02,  3.098686638E+004,  0.000000000E+000,  9.405405231E+004,  6.683948264E-001
.3070572472168766E-02,  2.120241205E+004,  3.687498378E+001,  2.657784626E+005,  8.386599584E+001
.1666666666666667,  2.995455685E+003,  3.228736966E+000,  3.632844383E+006,  6.230545296E+003
.1860571946203880,  2.788668346E+003,  3.621648462E+000,  3.834557735E+006,  6.460913056E+003
.3333333333333333,  1.790605954E+003,  4.433834407E-001,  5.009684747E+006,  7.336964526E+003
.5000000000000000,  1.369878765E+003,  0.000000000E+000,  5.940039164E+006,  7.404760637E+003
.5989568587183505,  1.221488709E+003,  2.207293364E-001,  6.400466016E+006,  7.409130131E+003
.6666666666666666,  1.135256106E+003,  2.338116945E-003,  6.687481744E+006,  7.416731714E+003
.8333333333333334,  9.619205445E+002,  4.708589981E-002,  7.314543472E+006,  7.422394626E+003
.8894484428169949,  9.122542674E+002,  6.878858263E-002,  7.503768330E+006,  7.434435130E+003
1.000000000000000,  8.236956854E+002,  1.282443539E-002,  7.848754409E+006,  7.452538395E+003
1.166666666666667,  7.090919142E+002,  2.005886438E-001,  8.307612190E+006,  7.497141297E+003
1.309065242879883,  6.307425470E+002,  8.743072643E-001,  8.649797750E+006,  7.640959601E+003
1.333333333333333,  6.187392030E+002,  4.410469938E-001,  8.704373253E+006,  7.695445044E+003
1.500000000000000,  5.486456506E+002,  2.103299575E-001,  9.053751227E+006,  7.891090616E+003
1.500178408782615,  5.486195861E+002,  2.114508652E-001,  9.054103590E+006,  7.891226425E+003
1.666666666666667,  4.921480281E+002,  1.764149940E-001,  9.365448593E+006,  7.978563537E+003
1.827245682184777,  4.469841408E+002,  2.605418043E-001,  9.636506483E+006,  8.099984963E+003
1.833333333333333,  4.453987241E+002,  2.314606294E-001,  9.646284821E+006,  8.105439492E+003
2.000000000000000,  4.061469324E+002,  3.708685865E-001,  9.901450134E+006,  8.278132378E+003
2.166666666666667,  3.723852498E+002,  4.097195882E-001,  1.013476822E+007,  8.514657559E+003
2.325092197506520,  3.448600412E+002,  8.858773764E-001,  1.033902683E+007,  8.806545528E+003
2.333333333333333,  3.433751945E+002,  7.669816640E-001,  1.034923648E+007,  8.831273551E+003
2.500000000000000,  3.171478305E+002,  4.499401287E-001,  1.054718664E+007,  9.129058503E+003
2.538273292084162,  3.116052066E+002,  4.512690234E-001,  1.059050031E+007,  9.191064483E+003
2.666666666666667,  2.939535712E+002,  4.485467008E-001,  1.073040739E+007,  9.398135292E+003
2.833333333333333,  2.729501100E+002,  4.764085727E-001,  1.090037541E+007,  9.671899413E+003
2.852509146339609,  2.707079220E+002,  4.940281050E-001,  1.091913974E+007,  9.705398773E+003
3.000000000000000,  2.538204134E+002,  4.166949174E-001,  1.105833813E+007,  9.936361342E+003
3.119138853922203,  2.413498699E+002,  5.457198704E-001,  1.116449035E+007,  1.012431444E+004
3.166666666666667,  2.363176394E+002,  3.500000643E-001,  1.120534731E+007,  1.019497012E+004
3.166858554224541,  2.363000479E+002,  3.501444598E-001,  1.120551055E+007,  1.019521200E+004
3.333333333333333,  2.201501745E+002,  3.005668241E-001,  1.134221870E+007,  1.038524422E+004
3.500000000000000,  2.050932016E+002,  3.031248011E-001,  1.146977575E+007,  1.056513857E+004
3.666666666666667,  1.912102112E+002,  3.429704336E-001,  1.158859960E+007,  1.075489451E+004
3.720817361773011,  1.870978356E+002,  3.999857411E-001,  1.162547053E+007,  1.082684042E+004
3.833333333333333,  1.788524615E+002,  2.741401337E-001,  1.169955171E+007,  1.095364135E+004
4.000000000000000,  1.681825648E+002,  3.637739493E-001,  1.180358894E+007,  1.113680581E+004
4.143411208692241,  1.602118129E+002,  5.858375762E-001,  1.188830589E+007,  1.136254990E+004
4.166666666666667,  1.588067939E+002,  4.383164868E-001,  1.190165986E+007,  1.140503068E+004
4.166863500106584,  1.588041579E+002,  4.385979664E-001,  1.190177239E+007,  1.140534147E+004
4.333333333333333,  1.501834795E+002,  3.148193511E-001,  1.199429088E+007,  1.160977833E+004
4.333530806968191,  1.501791651E+002,  3.154590831E-001,  1.199439764E+007,  1.161000259E+004
4.500000000000000,  1.425304199E+002,  3.120854618E-001,  1.208205802E+007,  1.179705800E+004
4.666666666666667,  1.355056988E+002,  3.214589986E-001,  1.216543896E+007,  1.198652266E+004
4.833333333333333,  1.292180973E+002,  3.478370983E-001,  1.224481980E+007,  1.218591688E+004
5.000000000000000,  1.235377109E+002,  4.755754155E-001,  1.232061992E+007,  1.242196804E+004
5.000399569783536,  1.235286413E+002,  4.762339491E-001,  1.232079761E+007,  1.242265297E+004
5.166666666666667,  1.180362558E+002,  2.932942916E-001,  1.239304443E+007,  1.262917714E+004
5.166866978106007,  1.180349844E+002,  2.935076620E-001,  1.239312955E+007,  1.262938880E+004
5.333333333333333,  1.130814400E+002,  2.675536943E-001,  1.246235258E+007,  1.279636080E+004
5.333534153757020,  1.130758208E+002,  2.675745882E-001,  1.246243433E+007,  1.279655424E+004
5.500000000000000,  1.086398895E+002,  2.531953772E-001,  1.252884728E+007,  1.295237953E+004
5.500201311473272,  1.086348716E+002,  2.533242219E-001,  1.252892601E+007,  1.295256312E+004
5.666666666666667,  1.045269064E+002,  2.434071055E-001,  1.259278186E+007,  1.310096495E+004
5.666868453074712,  1.045221244E+002,  2.435218745E-001,  1.259285779E+007,  1.310114185E+004
5.833333333333333,  1.006749059E+002,  2.435130303E-001,  1.265432677E+007,  1.324672476E+004
6.000000000000000,  9.705183256E+001,  2.465878978E-001,  1.271363163E+007,  1.339371442E+004
6.166666666666667,  9.368027150E+001,  2.509482657E-001,  1.277084220E+007,  1.354289572E+004
6.333333333333333,  9.051682958E+001,  2.663775980E-001,  1.282609433E+007,  1.369631401E+004
6.500000000000000,  8.756366585E+001,  3.030013442E-001,  1.287950090E+007,  1.386649500E+004
6.666666666666667,  8.485230010E+001,  3.733216915E-001,  1.293121083E+007,  1.406585575E+004
6.718178024719459,  8.409097234E+001,  4.330321692E-001,  1.294687405E+007,  1.413982234E+004
6.833333333333333,  8.223281013E+001,  3.638299839E-001,  1.298133829E+007,  1.429585624E+004
6.927356286934602,  8.088929515E+001,  4.583192017E-001,  1.300893935E+007,  1.443015665E+004
7.000000000000000,  7.971166633E+001,  3.628562784E-001,  1.302993506E+007,  1.453322522E+004
7.034465275987841,  7.921033372E+001,  3.671101417E-001,  1.303979393E+007,  1.457828684E+004
7.166666666666667,  7.728360272E+001,  3.280613994E-001,  1.307701708E+007,  1.473200783E+004
7.315960731871390,  7.525112878E+001,  3.377789626E-001,  1.311800294E+007,  1.491185668E+004
7.333333333333333,  7.501846973E+001,  3.377423194E-001,  1.312270194E+007,  1.493298108E+004
7.333539169193599,  7.501676232E+001,  3.383247907E-001,  1.312275753E+007,  1.493323178E+004
7.500000000000000,  7.282697897E+001,  3.350848279E-001,  1.316704986E+007,  1.513513708E+004
7.500206184157075,  7.282687558E+001,  3.351284826E-001,  1.316710391E+007,  1.513538584E+004
7.666666666666667,  7.077442431E+001,  3.340637682E-001,  1.321012386E+007,  1.533519546E+004
7.833333333333333,  6.881132237E+001,  3.367240908E-001,  1.325199683E+007,  1.553651693E+004
8.000000000000000,  6.692112990E+001,  3.391508638E-001,  1.329271607E+007,  1.573923823E+004
8.166666666666666,  6.514433209E+001,  3.426292176E-001,  1.333232862E+007,  1.594370220E+004
8.333333333333334,  6.342886653E+001,  3.482641209E-001,  1.337089648E+007,  1.615083926E+004
8.500000000000000,  6.178228365E+001,  3.581789790E-001,  1.340845252E+007,  1.636244653E+004
8.666666666666666,  6.023170686E+001,  3.823909831E-001,  1.344505227E+007,  1.658326855E+004
8.763196860224301,  5.939333734E+001,  4.375680818E-001,  1.346583437E+007,  1.672325008E+004
8.833333333333334,  5.867992875E+001,  3.637575758E-001,  1.348073975E+007,  1.682291067E+004
8.833542027306281,  5.867930536E+001,  3.640368512E-001,  1.348078384E+007,  1.682318417E+004
9.000000000000000,  5.717574509E+001,  3.272209092E-001,  1.351549054E+007,  1.702708056E+004
9.000208977626745,  5.717547946E+001,  3.273598820E-001,  1.351553355E+007,  1.702732684E+004
9.166666666666666,  5.576729262E+001,  3.163127414E-001,  1.354937214E+007,  1.721978349E+004
9.166875921743809,  5.576728046E+001,  3.163194523E-001,  1.354941415E+007,  1.722002178E+004
9.333333333333334,  5.439778068E+001,  3.095363755E-001,  1.358241866E+007,  1.740738287E+004
9.333542860459765,  5.439609679E+001,  3.096081779E-001,  1.358245969E+007,  1.740761641E+004
9.500000000000000,  5.308009282E+001,  3.053913260E-001,  1.361465540E+007,  1.759160444E+004
9.666666666666666,  5.184078000E+001,  3.202576657E-001,  1.364613071E+007,  1.777870382E+004
9.833333333333334,  5.067714965E+001,  3.665957027E-001,  1.367687752E+007,  1.798122066E+004
9.866566188240959,  5.047507366E+001,  3.952025257E-001,  1.368292799E+007,  1.802661494E+004
10.00000000000000,  4.949180674E+001,  3.381150225E-001,  1.370693245E+007,  1.819790046E+004
10.00021055983877,  4.949177392E+001,  3.381361060E-001,  1.370696997E+007,  1.819815678E+004
10.16666666666667,  4.835225007E+001,  3.269737962E-001,  1.373628287E+007,  1.839684062E+004
10.16687747207844,  4.835202749E+001,  3.271162425E-001,  1.373631956E+007,  1.839708887E+004
10.33333333333333,  4.724571716E+001,  3.208921736E-001,  1.376495939E+007,  1.859112563E+004
10.33354437951323,  4.724528073E+001,  3.211586995E-001,  1.376499528E+007,  1.859136964E+004
10.50000000000000,  4.619524625E+001,  3.158852701E-001,  1.379298966E+007,  1.878213383E+004
10.50021128220337,  4.619458161E+001,  3.162585453E-001,  1.379302479E+007,  1.878237438E+004
10.66666666666667,  4.516051305E+001,  3.114381293E-001,  1.382039525E+007,  1.897030852E+004
